TIME VBM_1 VBM_2 VBM_3 VBM_4 VBM_5 VBM_6 VBM_7 VBM_8 PITCH HEAVE
0.002427564 59.33881 148.728 208.8237 197.0922 208.3684 160.2123 85.74146 29.67812 -6.3669768192385825e-09 -1.579615e-09
0.005340118 -1.387378 483.8361 300.1069 -737.6476 -1277.415 -1256.923 -723.0548 -118.8959 -1.1884732274992787e-07 -2.776953e-08
0.008833923 -143.851 -524.0811 -619.4244 -323.636 -33.54748 62.54716 -34.67276 -138.4429 -1.1761698780031951e-07 -7.720618e-09
0.0128803 -75.69156 -34.34363 -177.0792 -536.0359 -648.4462 -584.9223 -368.4736 -124.4411 -3.094334373433543e-07 8.153308e-09
0.01692668 -107.6953 -272.2736 -389.5357 -421.2761 -332.1188 -251.7501 -191.367 -122.7247 -6.132149749699753e-07 1.097043e-07
0.02097306 -91.54341 -155.5612 -285.0307 -474.6689 -481.6397 -408.231 -271.5632 -118.6937 -6.554892929142307e-07 5.082306e-07
0.02501944 -100.6117 -215.1565 -337.1993 -444.6906 -399.6978 -320.5642 -222.1658 -114.0461 -1.1326363050036258e-06 1.161228e-06
0.02906582 -95.14772 -185.4024 -309.7459 -453.2661 -430.6914 -353.5084 -237.8298 -111.1271 -1.448684191146188e-06 2.390225e-06
0.0331122 -99.7529 -203.8462 -326.1989 -447.1224 -408.2634 -327.5015 -220.6081 -106.0969 -2.475494725883165e-06 4.095933e-06
0.03715858 -97.36359 -195.5558 -317.5748 -444.8076 -410.2088 -330.0765 -220.4294 -103.3198 -3.988791180471109e-06 6.42248e-06
0.04120496 -100.3723 -202.9627 -323.8433 -442.8315 -401.1129 -318.4889 -211.1202 -98.70644 -6.783087747523559e-06 9.175223e-06
0.04525134 -99.69121 -201.1775 -320.8769 -438.6839 -396.2686 -313.5509 -206.6698 -95.70973 -1.1054994021948423e-05 1.222875e-05
0.04929772 -101.9049 -205.2136 -323.6876 -436.8228 -390.1615 -305.7904 -199.8499 -91.70662 -1.751853292738284e-05 1.52443e-05
0.0533441 -102.3511 -205.8637 -322.8784 -433.1109 -384.4512 -299.6684 -194.692 -88.57711 -2.666407566112565e-05 1.787456e-05
0.05739048 -104.0702 -208.6096 -324.297 -431.0082 -379.3507 -293.5351 -189.2446 -85.12426 -3.9187563535763324e-05 1.96752e-05
0.06143686 -104.8988 -209.7084 -323.7932 -427.4531 -373.7484 -287.6607 -184.3534 -82.10474 -5.572696675277735e-05 2.019131e-05
0.06548323 -106.1828 -211.3322 -323.613 -423.8702 -367.792 -281.4167 -179.2542 -78.96582 -7.696036317986004e-05 1.892356e-05
0.06952961 -107.124 -212.2228 -322.5787 -419.5241 -361.2595 -274.7354 -174.0892 -75.97278 -0.00010355914607366858 1.536312e-05
0.07357599 -108.1326 -213.0818 -321.3998 -414.9042 -354.3907 -267.6251 -168.4657 -72.66368 -0.00013621736306455103 9.048426e-06
0.07762237 -109.0752 -213.7956 -320.0521 -410.1613 -347.5175 -260.5734 -162.8416 -69.37954 -0.00017565499737554012 -4.400746e-07
0.08166875 -109.855 -214.1371 -318.2131 -404.9749 -340.3612 -253.3516 -157.1399 -66.07494 -0.00022260295799078598 -1.349036e-05
