TIME	HEAVE	PITCH_QTM	VBM_4	PITCH_SBG	PITCH
-9.9983e+00	1.1608e-04	4.0302e-04	1.8739e+02	1.1899e-04	4.0302e-04
-9.9917e+00	1.1608e-04	4.0302e-04	1.8767e+02	1.1899e-04	4.0302e-04
-9.9850e+00	1.1608e-04	4.0302e-04	1.8737e+02	1.1899e-04	4.0302e-04
-9.9783e+00	1.1608e-04	4.0302e-04	1.8766e+02	1.1899e-04	4.0302e-04
-9.9717e+00	1.1608e-04	4.0302e-04	1.8749e+02	1.1899e-04	4.0302e-04
-9.9650e+00	1.1608e-04	4.0302e-04	1.8747e+02	1.1899e-04	4.0302e-04
-9.9583e+00	1.1608e-04	4.0302e-04	1.8763e+02	1.1899e-04	4.0302e-04
-9.9517e+00	1.1608e-04	4.0302e-04	1.8737e+02	1.1899e-04	4.0302e-04
-9.9450e+00	1.1608e-04	4.0302e-04	1.8768e+02	1.1899e-04	4.0302e-04
-9.9383e+00	1.1608e-04	4.0302e-04	1.8740e+02	1.1899e-04	4.0302e-04
-9.9317e+00	1.1608e-04	4.0302e-04	1.8752e+02	1.1899e-04	4.0302e-04
-9.9250e+00	1.1608e-04	4.0302e-04	1.8755e+02	1.1899e-04	4.0302e-04
-9.9183e+00	1.1608e-04	4.0302e-04	1.8734e+02	1.1899e-04	4.0302e-04
-9.9117e+00	1.1608e-04	4.0302e-04	1.8766e+02	1.1899e-04	4.0302e-04
-9.9050e+00	1.1608e-04	4.0302e-04	1.8733e+02	1.1899e-04	4.0302e-04
-9.8983e+00	1.1608e-04	4.0302e-04	1.8756e+02	1.1899e-04	4.0302e-04
-9.8917e+00	1.1608e-04	4.0302e-04	1.8749e+02	1.1899e-04	4.0302e-04
-9.8850e+00	1.1608e-04	4.0302e-04	1.8734e+02	1.1899e-04	4.0302e-04
-9.8783e+00	1.1608e-04	4.0302e-04	1.8764e+02	1.1899e-04	4.0302e-04
-9.8717e+00	1.1608e-04	4.0302e-04	1.8730e+02	1.1899e-04	4.0302e-04
-9.8650e+00	1.1608e-04	4.0302e-04	1.8760e+02	1.8989e-05	4.0302e-04
-9.8583e+00	1.1608e-04	4.0302e-04	1.8743e+02	1.8989e-05	4.0302e-04
-9.8517e+00	1.1608e-04	4.0302e-04	1.8741e+02	1.8989e-05	4.0302e-04
-9.8450e+00	1.1608e-04	4.0302e-04	1.8762e+02	1.8989e-05	4.0302e-04
-9.8383e+00	1.1608e-04	4.0302e-04	1.8733e+02	1.8989e-05	4.0302e-04
-9.8317e+00	1.1608e-04	4.0302e-04	1.8763e+02	1.8989e-05	4.0302e-04
-9.8250e+00	1.1608e-04	4.0302e-04	1.8737e+02	1.8989e-05	4.0302e-04
-9.8183e+00	1.1608e-04	4.0302e-04	1.8747e+02	1.8989e-05	4.0302e-04
-9.8117e+00	1.1608e-04	4.0302e-04	1.8754e+02	1.8989e-05	4.0302e-04
-9.8050e+00	1.1608e-04	4.0302e-04	1.8731e+02	1.8989e-05	4.0302e-04
-9.7983e+00	1.1608e-04	4.0302e-04	1.8764e+02	1.8989e-05	4.0302e-04
-9.7917e+00	1.1608e-04	4.0302e-04	1.8728e+02	1.8989e-05	4.0302e-04
-9.7850e+00	1.1608e-04	4.0302e-04	1.8752e+02	1.8989e-05	4.0302e-04
-9.7783e+00	1.1608e-04	4.0302e-04	1.8748e+02	1.8989e-05	4.0302e-04
-9.7717e+00	1.1608e-04	4.0302e-04	1.8728e+02	1.8989e-05	4.0302e-04
-9.7650e+00	1.1608e-04	4.0302e-04	1.8762e+02	1.8989e-05	4.0302e-04
-9.7583e+00	1.1608e-04	4.0302e-04	1.8727e+02	1.8989e-05	4.0302e-04
-9.7517e+00	1.1608e-04	4.0302e-04	1.8756e+02	1.8989e-05	4.0302e-04
-9.7450e+00	1.1608e-04	4.0302e-04	1.8741e+02	1.8989e-05	4.0302e-04
-9.7383e+00	1.1608e-04	4.0302e-04	1.8736e+02	1.8989e-05	4.0302e-04
-9.7317e+00	1.1608e-04	4.0302e-04	1.8758e+02	1.8989e-05	4.0302e-04
-9.7250e+00	1.1608e-04	4.0302e-04	1.8730e+02	-8.1011e-05	4.0302e-04
-9.7183e+00	1.1608e-04	4.0302e-04	1.8761e+02	-8.1011e-05	4.0302e-04
-9.7117e+00	1.1608e-04	4.0302e-04	1.8738e+02	-8.1011e-05	4.0302e-04
-9.7050e+00	1.1608e-04	4.0302e-04	1.8744e+02	-8.1011e-05	4.0302e-04
-9.6983e+00	1.1608e-04	4.0302e-04	1.8755e+02	-8.1011e-05	4.0302e-04
-9.6917e+00	1.1608e-04	4.0302e-04	1.8728e+02	-8.1011e-05	4.0302e-04
-9.6850e+00	1.1608e-04	4.0302e-04	1.8761e+02	-8.1011e-05	4.0302e-04
-9.6783e+00	1.1608e-04	4.0302e-04	1.8731e+02	-8.1011e-05	4.0302e-04
-9.6717e+00	1.1608e-04	4.0302e-04	1.8750e+02	-8.1011e-05	4.0302e-04
-9.6650e+00	1.1608e-04	4.0302e-04	1.8747e+02	-8.1011e-05	4.0302e-04
-9.6583e+00	1.1608e-04	4.0302e-04	1.8729e+02	-8.1011e-05	4.0302e-04
-9.6517e+00	1.1608e-04	4.0302e-04	1.8760e+02	-8.1011e-05	4.0302e-04
-9.6450e+00	1.1608e-04	4.0302e-04	1.8726e+02	-8.1011e-05	4.0302e-04
-9.6383e+00	1.1608e-04	4.0302e-04	1.8753e+02	-8.1011e-05	4.0302e-04
-9.6317e+00	1.1608e-04	4.0302e-04	1.8745e+02	-8.1011e-05	4.0302e-04
-9.6250e+00	1.1608e-04	4.0302e-04	1.8732e+02	-8.1011e-05	4.0302e-04
-9.6183e+00	1.1608e-04	4.0302e-04	1.8759e+02	-8.1011e-05	4.0302e-04
-9.6117e+00	1.1608e-04	4.0302e-04	1.8727e+02	-8.1011e-05	4.0302e-04
-9.6050e+00	1.1608e-04	4.0302e-04	1.8760e+02	-8.1011e-05	4.0302e-04
-9.5983e+00	1.1608e-04	4.0302e-04	1.8742e+02	-8.1011e-05	4.0302e-04
-9.5917e+00	1.1608e-04	4.0302e-04	1.8741e+02	-8.1011e-05	4.0302e-04
-9.5850e+00	1.1608e-04	4.0302e-04	1.8757e+02	-8.1011e-05	4.0302e-04
-9.5783e+00	1.1608e-04	4.0302e-04	1.8733e+02	-8.1011e-05	4.0302e-04
-9.5717e+00	1.1608e-04	4.0302e-04	1.8763e+02	-8.1011e-05	4.0302e-04
-9.5650e+00	1.1608e-04	4.0302e-04	1.8735e+02	-8.1011e-05	4.0302e-04
-9.5583e+00	1.1608e-04	4.0302e-04	1.8749e+02	-8.1011e-05	4.0302e-04
-9.5517e+00	1.1608e-04	4.0302e-04	1.8753e+02	-8.1011e-05	4.0302e-04
-9.5450e+00	1.1608e-04	4.0302e-04	1.8730e+02	-8.1011e-05	4.0302e-04
-9.5383e+00	1.1608e-04	4.0302e-04	1.8762e+02	-8.1011e-05	4.0302e-04
-9.5317e+00	1.1608e-04	4.0302e-04	1.8731e+02	-8.1011e-05	4.0302e-04
-9.5250e+00	1.1608e-04	4.0302e-04	1.8757e+02	-8.1011e-05	4.0302e-04
-9.5183e+00	1.1608e-04	4.0302e-04	1.8749e+02	-8.1011e-05	4.0302e-04
-9.5117e+00	1.1608e-04	4.0302e-04	1.8736e+02	-8.1011e-05	4.0302e-04
-9.5050e+00	1.1608e-04	4.0302e-04	1.8766e+02	-8.1011e-05	4.0302e-04
-9.4983e+00	1.1608e-04	4.0302e-04	1.8734e+02	-8.1011e-05	4.0302e-04
-9.4917e+00	1.1608e-04	4.0302e-04	1.8761e+02	-8.1011e-05	4.0302e-04
-9.4850e+00	1.1608e-04	4.0302e-04	1.8746e+02	-8.1011e-05	4.0302e-04
-9.4783e+00	1.1608e-04	4.0302e-04	1.8745e+02	-8.1011e-05	4.0302e-04
-9.4717e+00	1.1608e-04	4.0302e-04	1.8761e+02	-8.1011e-05	4.0302e-04
-9.4650e+00	1.1608e-04	4.0302e-04	1.8737e+02	-8.1011e-05	4.0302e-04
-9.4583e+00	1.1608e-04	4.0302e-04	1.8768e+02	-8.1011e-05	4.0302e-04
-9.4517e+00	1.1608e-04	4.0302e-04	1.8741e+02	-8.1011e-05	4.0302e-04
-9.4450e+00	1.1608e-04	4.0302e-04	1.8751e+02	-8.1011e-05	4.0302e-04
-9.4383e+00	1.1608e-04	4.0302e-04	1.8758e+02	-8.1011e-05	4.0302e-04
-9.4317e+00	1.1608e-04	4.0302e-04	1.8732e+02	-8.1011e-05	4.0302e-04
-9.4250e+00	1.1608e-04	4.0302e-04	1.8766e+02	-8.1011e-05	4.0302e-04
-9.4183e+00	1.1608e-04	4.0302e-04	1.8733e+02	-8.1011e-05	4.0302e-04
-9.4117e+00	1.1608e-04	4.0302e-04	1.8753e+02	-8.1011e-05	4.0302e-04
-9.4050e+00	1.1608e-04	4.0302e-04	1.8749e+02	-8.1011e-05	4.0302e-04
-9.3983e+00	1.1608e-04	4.0302e-04	1.8734e+02	-8.1011e-05	4.0302e-04
-9.3917e+00	1.1608e-04	4.0302e-04	1.8765e+02	-8.1011e-05	4.0302e-04
-9.3850e+00	1.1608e-04	4.0302e-04	1.8732e+02	-8.1011e-05	4.0302e-04
-9.3783e+00	1.1608e-04	4.0302e-04	1.8761e+02	-8.1011e-05	4.0302e-04
-9.3717e+00	1.1608e-04	4.0302e-04	1.8747e+02	-8.1011e-05	4.0302e-04
-9.3650e+00	1.1608e-04	4.0302e-04	1.8742e+02	-8.1011e-05	4.0302e-04
-9.3583e+00	1.1608e-04	4.0302e-04	1.8760e+02	-8.1011e-05	4.0302e-04
-9.3517e+00	1.1608e-04	4.0302e-04	1.8733e+02	-8.1011e-05	4.0302e-04
-9.3450e+00	1.1608e-04	4.0302e-04	1.8763e+02	-8.1011e-05	4.0302e-04
-9.3383e+00	1.1608e-04	4.0302e-04	1.8740e+02	-8.1011e-05	4.0302e-04
-9.3317e+00	1.1608e-04	4.0302e-04	1.8748e+02	-8.1011e-05	4.0302e-04
-9.3250e+00	1.1608e-04	4.0302e-04	1.8758e+02	-8.1011e-05	4.0302e-04
-9.3183e+00	1.1608e-04	4.0302e-04	1.8733e+02	1.8989e-05	4.0302e-04
-9.3117e+00	1.1608e-04	4.0302e-04	1.8767e+02	1.8989e-05	4.0302e-04
-9.3050e+00	1.1608e-04	4.0302e-04	1.8736e+02	1.8989e-05	4.0302e-04
-9.2983e+00	1.1608e-04	4.0302e-04	1.8754e+02	1.8989e-05	4.0302e-04
-9.2917e+00	1.1608e-04	4.0302e-04	1.8751e+02	1.8989e-05	4.0302e-04
-9.2850e+00	1.1608e-04	4.0302e-04	1.8734e+02	1.8989e-05	4.0302e-04
-9.2783e+00	1.1608e-04	4.0302e-04	1.8768e+02	1.8989e-05	4.0302e-04
-9.2717e+00	1.1608e-04	4.0302e-04	1.8732e+02	1.8989e-05	4.0302e-04
-9.2650e+00	1.1608e-04	4.0302e-04	1.8760e+02	1.8989e-05	4.0302e-04
-9.2583e+00	1.1608e-04	4.0302e-04	1.8750e+02	1.8989e-05	4.0302e-04
-9.2517e+00	1.1608e-04	4.0302e-04	1.8742e+02	1.8989e-05	4.0302e-04
-9.2450e+00	1.1608e-04	4.0302e-04	1.8768e+02	1.8989e-05	4.0302e-04
-9.2383e+00	1.1608e-04	4.0302e-04	1.8736e+02	1.8989e-05	4.0302e-04
-9.2317e+00	1.1608e-04	4.0302e-04	1.8765e+02	1.8989e-05	4.0302e-04
-9.2250e+00	1.1608e-04	4.0302e-04	1.8747e+02	1.8989e-05	4.0302e-04
-9.2183e+00	1.1608e-04	4.0302e-04	1.8752e+02	1.8989e-05	4.0302e-04
-9.2117e+00	1.1608e-04	4.0302e-04	1.8764e+02	1.8989e-05	4.0302e-04
-9.2050e+00	1.1608e-04	4.0302e-04	1.8739e+02	1.8989e-05	4.0302e-04
-9.1983e+00	1.1608e-04	4.0302e-04	1.8773e+02	1.8989e-05	4.0302e-04
-9.1917e+00	1.1608e-04	4.0302e-04	1.8742e+02	1.8989e-05	4.0302e-04
-9.1850e+00	1.1608e-04	4.0302e-04	1.8756e+02	1.8989e-05	4.0302e-04
-9.1783e+00	1.1608e-04	4.0302e-04	1.8758e+02	1.8989e-05	4.0302e-04
-9.1717e+00	1.1608e-04	4.0302e-04	1.8739e+02	1.8989e-05	4.0302e-04
-9.1650e+00	1.1608e-04	4.0302e-04	1.8771e+02	1.8989e-05	4.0302e-04
-9.1583e+00	1.1608e-04	4.0302e-04	1.8735e+02	1.8989e-05	4.0302e-04
-9.1517e+00	1.1608e-04	4.0302e-04	1.8761e+02	1.8989e-05	4.0302e-04
-9.1450e+00	1.1608e-04	4.0302e-04	1.8753e+02	1.8989e-05	4.0302e-04
-9.1383e+00	1.1608e-04	4.0302e-04	1.8740e+02	1.8989e-05	4.0302e-04
-9.1317e+00	1.1608e-04	4.0302e-04	1.8768e+02	1.8989e-05	4.0302e-04
-9.1250e+00	1.1608e-04	4.0302e-04	1.8736e+02	1.8989e-05	4.0302e-04
-9.1183e+00	1.1608e-04	4.0302e-04	1.8766e+02	1.8989e-05	4.0302e-04
-9.1117e+00	1.1608e-04	4.0302e-04	1.8748e+02	1.8989e-05	4.0302e-04
-9.1050e+00	1.1608e-04	4.0302e-04	1.8750e+02	1.8989e-05	4.0302e-04
-9.0983e+00	1.1608e-04	4.0302e-04	1.8766e+02	1.8989e-05	4.0302e-04
-9.0917e+00	1.1608e-04	4.0302e-04	1.8738e+02	1.8989e-05	4.0302e-04
-9.0850e+00	1.1608e-04	4.0302e-04	1.8771e+02	1.8989e-05	4.0302e-04
-9.0783e+00	1.1608e-04	4.0302e-04	1.8741e+02	1.8989e-05	4.0302e-04
-9.0717e+00	1.1608e-04	4.0302e-04	1.8752e+02	1.8989e-05	4.0302e-04
-9.0650e+00	1.1608e-04	4.0302e-04	1.8755e+02	1.8989e-05	4.0302e-04
-9.0583e+00	1.1608e-04	4.0302e-04	1.8736e+02	1.8989e-05	4.0302e-04
-9.0517e+00	1.1608e-04	4.0302e-04	1.8768e+02	1.8989e-05	4.0302e-04
-9.0450e+00	1.1608e-04	4.0302e-04	1.8736e+02	1.8989e-05	4.0302e-04
-9.0383e+00	1.1608e-04	4.0302e-04	1.8758e+02	1.8989e-05	4.0302e-04
-9.0317e+00	1.1608e-04	4.0302e-04	1.8750e+02	1.8989e-05	4.0302e-04
-9.0250e+00	1.1608e-04	4.0302e-04	1.8737e+02	1.8989e-05	4.0302e-04
-9.0183e+00	1.1608e-04	4.0302e-04	1.8767e+02	1.8989e-05	4.0302e-04
-9.0117e+00	1.1608e-04	4.0302e-04	1.8734e+02	1.8989e-05	4.0302e-04
-9.0050e+00	1.1608e-04	4.0302e-04	1.8762e+02	1.8989e-05	4.0302e-04
-8.9983e+00	1.1608e-04	4.0302e-04	1.8747e+02	1.8989e-05	4.0302e-04
-8.9917e+00	1.1608e-04	4.0302e-04	1.8743e+02	1.8989e-05	4.0302e-04
-8.9850e+00	1.1608e-04	4.0302e-04	1.8763e+02	1.8989e-05	4.0302e-04
-8.9783e+00	1.1608e-04	4.0302e-04	1.8736e+02	1.8989e-05	4.0302e-04
-8.9717e+00	1.1608e-04	4.0302e-04	1.8768e+02	1.8989e-05	4.0302e-04
-8.9650e+00	1.1608e-04	4.0302e-04	1.8742e+02	1.8989e-05	4.0302e-04
-8.9583e+00	1.1608e-04	4.0302e-04	1.8750e+02	1.8989e-05	4.0302e-04
-8.9517e+00	1.1608e-04	4.0302e-04	1.8758e+02	1.8989e-05	4.0302e-04
-8.9450e+00	1.1608e-04	4.0302e-04	1.8734e+02	1.8989e-05	4.0302e-04
-8.9383e+00	1.1608e-04	4.0302e-04	1.8766e+02	1.8989e-05	4.0302e-04
-8.9317e+00	1.1608e-04	4.0302e-04	1.8736e+02	1.8989e-05	4.0302e-04
-8.9250e+00	1.1608e-04	4.0302e-04	1.8754e+02	1.8989e-05	4.0302e-04
-8.9183e+00	1.1608e-04	4.0302e-04	1.8752e+02	1.8989e-05	4.0302e-04
-8.9117e+00	1.1608e-04	4.0302e-04	1.8734e+02	1.8989e-05	4.0302e-04
-8.9050e+00	1.1608e-04	4.0302e-04	1.8765e+02	1.8989e-05	4.0302e-04
-8.8983e+00	1.1608e-04	4.0302e-04	1.8731e+02	1.8989e-05	4.0302e-04
-8.8917e+00	1.1608e-04	4.0302e-04	1.8757e+02	1.8989e-05	4.0302e-04
-8.8850e+00	1.1608e-04	4.0302e-04	1.8747e+02	1.8989e-05	4.0302e-04
-8.8783e+00	1.1608e-04	4.0302e-04	1.8737e+02	1.8989e-05	4.0302e-04
-8.8717e+00	1.1608e-04	4.0302e-04	1.8760e+02	1.8989e-05	4.0302e-04
-8.8650e+00	1.1608e-04	4.0302e-04	1.8728e+02	1.8989e-05	4.0302e-04
-8.8583e+00	1.1608e-04	4.0302e-04	1.8760e+02	-8.1011e-05	4.0302e-04
-8.8517e+00	1.1608e-04	4.0302e-04	1.8739e+02	-8.1011e-05	4.0302e-04
-8.8450e+00	1.1608e-04	4.0302e-04	1.8740e+02	-8.1011e-05	4.0302e-04
-8.8383e+00	1.1608e-04	4.0302e-04	1.8754e+02	-8.1011e-05	4.0302e-04
-8.8317e+00	1.1608e-04	4.0302e-04	1.8730e+02	-8.1011e-05	4.0302e-04
-8.8250e+00	1.1608e-04	4.0302e-04	1.8762e+02	-8.1011e-05	4.0302e-04
-8.8183e+00	1.1608e-04	4.0302e-04	1.8729e+02	-8.1011e-05	4.0302e-04
-8.8117e+00	1.1608e-04	4.0302e-04	1.8747e+02	-8.1011e-05	4.0302e-04
-8.8050e+00	1.1608e-04	4.0302e-04	1.8746e+02	-8.1011e-05	4.0302e-04
-8.7983e+00	1.1608e-04	4.0302e-04	1.8725e+02	-8.1011e-05	4.0302e-04
-8.7917e+00	1.1608e-04	4.0302e-04	1.8758e+02	-8.1011e-05	4.0302e-04
-8.7850e+00	1.1608e-04	4.0302e-04	1.8724e+02	-8.1011e-05	4.0302e-04
-8.7783e+00	1.1608e-04	4.0302e-04	1.8749e+02	-8.1011e-05	4.0302e-04
-8.7717e+00	1.1608e-04	4.0302e-04	1.8743e+02	-8.1011e-05	4.0302e-04
-8.7650e+00	1.1608e-04	4.0302e-04	1.8729e+02	-8.1011e-05	4.0302e-04
-8.7583e+00	1.1608e-04	4.0302e-04	1.8757e+02	-8.1011e-05	4.0302e-04
-8.7517e+00	1.1608e-04	4.0302e-04	1.8726e+02	-8.1011e-05	4.0302e-04
-8.7450e+00	1.1608e-04	4.0302e-04	1.8755e+02	-8.1011e-05	4.0302e-04
-8.7383e+00	1.1608e-04	4.0302e-04	1.8739e+02	-8.1011e-05	4.0302e-04
-8.7317e+00	1.1608e-04	4.0302e-04	1.8736e+02	-8.1011e-05	4.0302e-04
-8.7250e+00	1.1608e-04	4.0302e-04	1.8755e+02	-8.1011e-05	4.0302e-04
-8.7183e+00	1.1608e-04	4.0302e-04	1.8726e+02	-8.1011e-05	4.0302e-04
-8.7117e+00	1.1608e-04	4.0302e-04	1.8760e+02	-8.1011e-05	4.0302e-04
-8.7050e+00	1.1608e-04	4.0302e-04	1.8733e+02	-8.1011e-05	4.0302e-04
-8.6983e+00	1.1608e-04	4.0302e-04	1.8747e+02	-8.1011e-05	4.0302e-04
-8.6917e+00	1.1608e-04	4.0302e-04	1.8750e+02	-8.1011e-05	4.0302e-04
-8.6850e+00	1.1608e-04	4.0302e-04	1.8729e+02	-8.1011e-05	4.0302e-04
-8.6783e+00	1.1608e-04	4.0302e-04	1.8760e+02	-8.1011e-05	4.0302e-04
-8.6717e+00	1.1608e-04	4.0302e-04	1.8727e+02	-8.1011e-05	4.0302e-04
-8.6650e+00	1.1608e-04	4.0302e-04	1.8752e+02	-8.1011e-05	4.0302e-04
-8.6583e+00	1.1608e-04	4.0302e-04	1.8745e+02	-8.1011e-05	4.0302e-04
-8.6517e+00	1.1608e-04	4.0302e-04	1.8731e+02	-8.1011e-05	4.0302e-04
-8.6450e+00	1.1608e-04	4.0302e-04	1.8760e+02	-8.1011e-05	4.0302e-04
-8.6383e+00	1.1608e-04	4.0302e-04	1.8728e+02	-8.1011e-05	4.0302e-04
-8.6317e+00	1.1608e-04	4.0302e-04	1.8760e+02	-8.1011e-05	4.0302e-04
-8.6250e+00	1.1608e-04	4.0302e-04	1.8745e+02	-8.1011e-05	4.0302e-04
-8.6183e+00	1.1608e-04	4.0302e-04	1.8741e+02	-8.1011e-05	4.0302e-04
-8.6117e+00	1.1608e-04	4.0302e-04	1.8760e+02	-8.1011e-05	4.0302e-04
-8.6050e+00	1.1608e-04	4.0302e-04	1.8733e+02	-8.1011e-05	4.0302e-04
-8.5983e+00	1.1608e-04	4.0302e-04	1.8764e+02	-8.1011e-05	4.0302e-04
-8.5917e+00	1.1608e-04	4.0302e-04	1.8739e+02	-8.1011e-05	4.0302e-04
-8.5850e+00	1.1608e-04	4.0302e-04	1.8751e+02	-8.1011e-05	4.0302e-04
-8.5783e+00	1.1608e-04	4.0302e-04	1.8757e+02	-8.1011e-05	4.0302e-04
-8.5717e+00	1.1608e-04	4.0302e-04	1.8733e+02	-8.1011e-05	4.0302e-04
-8.5650e+00	1.1608e-04	4.0302e-04	1.8766e+02	-8.1011e-05	4.0302e-04
-8.5583e+00	1.1608e-04	4.0302e-04	1.8734e+02	-8.1011e-05	4.0302e-04
-8.5517e+00	1.1608e-04	4.0302e-04	1.8756e+02	-8.1011e-05	4.0302e-04
-8.5450e+00	1.1608e-04	4.0302e-04	1.8750e+02	-8.1011e-05	4.0302e-04
-8.5383e+00	1.1608e-04	4.0302e-04	1.8734e+02	-8.1011e-05	4.0302e-04
-8.5317e+00	1.1608e-04	4.0302e-04	1.8765e+02	-8.1011e-05	4.0302e-04
-8.5250e+00	1.1608e-04	4.0302e-04	1.8735e+02	-8.1011e-05	4.0302e-04
-8.5183e+00	1.1608e-04	4.0302e-04	1.8762e+02	-8.1011e-05	4.0302e-04
-8.5117e+00	1.1608e-04	4.0302e-04	1.8751e+02	-8.1011e-05	4.0302e-04
-8.5050e+00	1.1608e-04	4.0302e-04	1.8744e+02	-8.1011e-05	4.0302e-04
-8.4983e+00	1.1608e-04	4.0302e-04	1.8767e+02	-8.1011e-05	4.0302e-04
-8.4917e+00	1.1608e-04	4.0302e-04	1.8739e+02	-8.1011e-05	4.0302e-04
-8.4850e+00	1.1608e-04	4.0302e-04	1.8769e+02	-8.1011e-05	4.0302e-04
-8.4783e+00	1.1608e-04	4.0302e-04	1.8747e+02	-8.1011e-05	4.0302e-04
-8.4717e+00	1.1608e-04	4.0302e-04	1.8753e+02	-8.1011e-05	4.0302e-04
-8.4650e+00	1.1608e-04	4.0302e-04	1.8764e+02	-8.1011e-05	4.0302e-04
-8.4583e+00	1.1608e-04	4.0302e-04	1.8741e+02	-8.1011e-05	4.0302e-04
-8.4517e+00	1.1608e-04	4.0302e-04	1.8774e+02	-8.1011e-05	4.0302e-04
-8.4450e+00	1.1608e-04	4.0302e-04	1.8742e+02	-8.1011e-05	4.0302e-04
-8.4383e+00	1.1608e-04	4.0302e-04	1.8762e+02	-8.1011e-05	4.0302e-04
-8.4317e+00	1.1608e-04	4.0302e-04	1.8761e+02	-8.1011e-05	4.0302e-04
-8.4250e+00	1.1608e-04	4.0302e-04	1.8742e+02	-8.1011e-05	4.0302e-04
-8.4183e+00	1.1608e-04	4.0302e-04	1.8774e+02	-8.1011e-05	4.0302e-04
-8.4117e+00	1.1608e-04	4.0302e-04	1.8741e+02	-8.1011e-05	4.0302e-04
-8.4050e+00	1.1608e-04	4.0302e-04	1.8768e+02	1.8989e-05	4.0302e-04
-8.3983e+00	1.1608e-04	4.0302e-04	1.8758e+02	1.8989e-05	4.0302e-04
-8.3917e+00	1.1608e-04	4.0302e-04	1.8749e+02	1.8989e-05	4.0302e-04
-8.3850e+00	1.1608e-04	4.0302e-04	1.8776e+02	1.8989e-05	4.0302e-04
-8.3783e+00	1.1608e-04	4.0302e-04	1.8745e+02	1.8989e-05	4.0302e-04
-8.3717e+00	1.1608e-04	4.0302e-04	1.8776e+02	1.8989e-05	4.0302e-04
-8.3650e+00	1.1608e-04	4.0302e-04	1.8756e+02	1.8989e-05	4.0302e-04
-8.3583e+00	1.1608e-04	4.0302e-04	1.8759e+02	1.8989e-05	4.0302e-04
-8.3517e+00	1.1608e-04	4.0302e-04	1.8774e+02	1.8989e-05	4.0302e-04
-8.3450e+00	1.1608e-04	4.0302e-04	1.8746e+02	1.8989e-05	4.0302e-04
-8.3383e+00	1.1608e-04	4.0302e-04	1.8779e+02	1.8989e-05	4.0302e-04
-8.3317e+00	1.1608e-04	4.0302e-04	1.8749e+02	1.8989e-05	4.0302e-04
-8.3250e+00	1.1608e-04	4.0302e-04	1.8763e+02	1.8989e-05	4.0302e-04
-8.3183e+00	1.1608e-04	4.0302e-04	1.8765e+02	1.8989e-05	4.0302e-04
-8.3117e+00	1.1608e-04	4.0302e-04	1.8745e+02	1.8989e-05	4.0302e-04
-8.3050e+00	1.1608e-04	4.0302e-04	1.8776e+02	1.8989e-05	4.0302e-04
-8.2983e+00	1.1608e-04	4.0302e-04	1.8744e+02	1.8989e-05	4.0302e-04
-8.2917e+00	1.1608e-04	4.0302e-04	1.8768e+02	1.8989e-05	4.0302e-04
-8.2850e+00	1.1608e-04	4.0302e-04	1.8761e+02	1.8989e-05	4.0302e-04
-8.2783e+00	1.1608e-04	4.0302e-04	1.8745e+02	1.8989e-05	4.0302e-04
-8.2717e+00	1.1608e-04	4.0302e-04	1.8776e+02	1.8989e-05	4.0302e-04
-8.2650e+00	1.1608e-04	4.0302e-04	1.8739e+02	1.8989e-05	4.0302e-04
-8.2583e+00	1.1608e-04	4.0302e-04	1.8770e+02	1.8989e-05	4.0302e-04
-8.2517e+00	1.1608e-04	4.0302e-04	1.8757e+02	1.8989e-05	4.0302e-04
-8.2450e+00	1.1608e-04	4.0302e-04	1.8752e+02	1.8989e-05	4.0302e-04
-8.2383e+00	1.1608e-04	4.0302e-04	1.8773e+02	1.8989e-05	4.0302e-04
-8.2317e+00	1.1608e-04	4.0302e-04	1.8746e+02	1.8989e-05	4.0302e-04
-8.2250e+00	1.1608e-04	4.0302e-04	1.8777e+02	1.8989e-05	4.0302e-04
